Delicious Food,Finally something delicious.,3,70|0|0|0|0|3,170
A Delicacy,Looks expensive and really tasty.,4,100|0|0|0|0|4,220
Almost-Full Machine Core,Nearly filled... You can smell the magic.,8,0|15|0|0|0|8,170
Full Machine Core ,Fully loaded and ready to be consumed.,9,0|25|0|0|0|9,220
The Same Rock. But With A Hat,So cute.,13,0|0|15|0|0|13,170
Two Rocks With Hats,OMG look at their little hats!,14,0|0|25|0|0|14,220
A Bowl Defence Stew,Some decent sized stew.,18,10|0|0|15|0|18,170
A Pot Of Defence Stew,A bit too much but ok. It looks yummy.,19,20|0|0|25|0|19,220
Great Shoelaces,Great.,23,0|0|0|0|15|23,170
Shoelaces That Look Like Snakes,They should be called pythons.,24,0|0|0|0|25|24,220
Cubist Food,So blue. Why is it so blue? ,28,20|15|30|0|0|28,1500
