Great Food,Some good looking food.,2,30|0|0|0|0|2,120
Delicious Food,Finally something delicious.,3,70|0|0|0|0|3,170
Half Full Machine Core,This one is half full. Or half empty...,7,0|10|0|0|0|7,120
Almost-Full Machine Core,Nearly filled... You can smell the magic.,8,0|15|0|0|0|8,170
Two Rocks ,What's better than one rock?,12,0|0|10|0|0|12,120
The Same Rock. But With A Hat,So cute.,13,0|0|15|0|0|13,170
Some Defence Stew,Meh. At least it's not a spoonful.,17,4|0|0|10|0|17,120
A Bowl Defence Stew,Some decent sized stew.,18,10|0|0|15|0|18,170
Nice Shoelaces,Nice.,22,0|0|0|0|10|22,120
Great Shoelaces,Great.,23,0|0|0|0|15|23,170
Abstract Food,This looks like a melted clock...,27,0|0|0|0|0|27,1500
