Leather Helmet,1,1,0|0|0|2|0|1,500
Wood Helmet,1,2,0|3|0|4|0|2,900
Metal Helmet,1,3,0|0|0|6|0|3,1300
Toy Knife,2,1,0|0|4|0|0|1,600
Wood Sword,2,2,0|0|10|0|0|2,1100
Old Hammer,2,6,0|0|7|0|0|6,600
Not-So-Cool Hammer,2,7,0|0|15|0|0|7,1100
Tree Branch,2,11,0|5|2|0|0|11,600
A Stick,2,12,0|8|3|0|0|12,1100
A Rice Grain,2,16,0|1|1|0|0|16,600
Some Rice,2,17,0|2|2|0|0|17,1100
Leather Armor,3,1,3|0|0|0|0|1,500
Wood Armor,3,2,4|0|0|4|0|2,900
Metal Armor,3,3,15|0|0|10|0|3,1300
Leather Shoes,4,1,0|0|0|0|2|1,500
Wood Shoes,4,2,0|0|0|0|5|2,900
Metal Shoes,4,3,0|0|0|4|2|3,1300
