Sappire Helmet,1,5,0|10|0|20|0|5,2100
Pearl Helmet,1,6,0|20|0|10|0|6,2500
Saviour Helmet,1,7,0|20|0|20|0|7,2900
Great Sword,2,3,0|5|20|0|0|3,1600
Hero Sword,2,4,0|10|50|0|0|4,2100
Great Hammer,2,8,0|0|40|0|0|8,1600
Destruction Hammer,2,9,0|0|70|0|0|9,2100
Magic Wand,2,13,0|15|5|0|0|13,1600
Magic Staff,2,14,0|40|15|0|0|14,2100
Rice Bowl,2,18,0|10|10|0|0|18,1600
Rice Bag,2,19,0|30|30|0|0|19,2100
Sappire Armor,3,5,30|5|0|10|0|5,2100
Pearl Armor,3,6,30|5|0|10|0|6,2500
Saviour Armor,3,7,60|0|0|20|0|7,2900
Sappire Shoes,4,5,0|5|0|0|10|5,2100
Pearl Shoes,4,6,0|10|0|0|10|6,2500
Saviour Shoes,4,7,0|0|0|0|20|7,2900
