Food,Some food. Looks stale.,1,10|0|0|0|0|1,70
Great Food,Some good looking food.,2,30|0|0|0|0|2,120
Almost-Empty Machine Core,Was filled with magic... Not so much now.,6,0|5|0|0|0|6,70
Half Full Machine Core,This one is half full. Or half empty...,7,0|10|0|0|0|7,120
A Rock,It's a rock.,11,0|0|5|0|0|11,70
Two Rocks ,What's better than one rock?,12,0|0|10|0|0|12,120
A bit Of Defence Stew,It's like a spoonful...,16,2|0|0|5|0|16,70
Some Defence Stew,Meh. At least it's not a spoonful.,17,4|0|0|10|0|17,120
OK Shoelaces,OK.,21,0|0|0|0|5|21,70
Nice Shoelaces,Nice.,22,0|0|0|0|10|22,120
Astral Food,Some out of this world food.,26,0|0|15|20|20|26,1500
